Month,Avg. Players,Gain,%_Gain,Peak Players,Source File,Month|Avg. Players|Gain|%_Gain|Peak Players|Source File
February 2024,14390.59,-6603.19,-31.45%,23714.0,ARK_SurvivalAscended,
January 2024,20993.79,-11469.69,-35.33%,40555.0,ARK_SurvivalAscended,
December 2023,32463.48,-15933.49,-32.92%,63209.0,ARK_SurvivalAscended,
November 2023,48396.97,-10575.36,-17.93%,89513.0,ARK_SurvivalAscended,
October 2023,58972.33,-,-,98047.0,ARK_SurvivalAscended,
February 2024,21550.53,-3668.70,-14.55%,37022.0,ARK_SurvivalEvolved,
January 2024,25219.23,-807.05,-3.10%,41787.0,ARK_SurvivalEvolved,
December 2023,26026.29,-8073.37,-23.68%,45768.0,ARK_SurvivalEvolved,
November 2023,34099.66,-7246.53,-17.53%,65068.0,ARK_SurvivalEvolved,
October 2023,41346.18,5238.78,+14.51%,75908.0,ARK_SurvivalEvolved,
September 2023,36107.41,-5423.38,-13.06%,61055.0,ARK_SurvivalEvolved,
August 2023,41530.79,-6726.35,-13.94%,66034.0,ARK_SurvivalEvolved,
July 2023,48257.14,4180.39,+9.48%,72446.0,ARK_SurvivalEvolved,
June 2023,44076.76,1574.03,+3.70%,70615.0,ARK_SurvivalEvolved,
May 2023,42502.72,-2469.58,-5.49%,69526.0,ARK_SurvivalEvolved,
April 2023,44972.3,1625.72,+3.75%,73447.0,ARK_SurvivalEvolved,
March 2023,43346.57,-6215.45,-12.54%,75697.0,ARK_SurvivalEvolved,
February 2023,49562.02,-10156.08,-17.01%,83672.0,ARK_SurvivalEvolved,
January 2023,59718.1,5142.37,+9.42%,94570.0,ARK_SurvivalEvolved,
December 2022,54575.73,7418.12,+15.73%,87058.0,ARK_SurvivalEvolved,
November 2022,47157.61,2063.33,+4.58%,81482.0,ARK_SurvivalEvolved,
October 2022,45094.28,-650.02,-1.42%,76139.0,ARK_SurvivalEvolved,
September 2022,45744.31,-11146.19,-19.59%,77774.0,ARK_SurvivalEvolved,
August 2022,56890.49,-30036.28,-34.55%,96148.0,ARK_SurvivalEvolved,
July 2022,86926.77,-10297.33,-10.59%,149693.0,ARK_SurvivalEvolved,
June 2022,97224.1,52428.70,+117.04%,247292.0,ARK_SurvivalEvolved,
May 2022,44795.39,-1847.43,-3.96%,75922.0,ARK_SurvivalEvolved,
April 2022,46642.82,8423.11,+22.04%,83133.0,ARK_SurvivalEvolved,
March 2022,38219.71,-11964.38,-23.84%,61402.0,ARK_SurvivalEvolved,
February 2022,50184.09,-11794.64,-19.03%,86443.0,ARK_SurvivalEvolved,
January 2022,61978.73,8705.39,+16.34%,96650.0,ARK_SurvivalEvolved,
December 2021,53273.34,12713.46,+31.34%,92234.0,ARK_SurvivalEvolved,
November 2021,40559.88,3592.77,+9.72%,69159.0,ARK_SurvivalEvolved,
October 2021,36967.1,-2522.36,-6.39%,66708.0,ARK_SurvivalEvolved,
September 2021,39489.46,-8058.66,-16.95%,66133.0,ARK_SurvivalEvolved,
August 2021,47548.12,-8369.54,-14.97%,73618.0,ARK_SurvivalEvolved,
July 2021,55917.67,-18758.82,-25.12%,95701.0,ARK_SurvivalEvolved,
June 2021,74676.49,29257.48,+64.42%,147475.0,ARK_SurvivalEvolved,
May 2021,45419.0,-1259.07,-2.70%,84679.0,ARK_SurvivalEvolved,
April 2021,46678.07,-2642.30,-5.36%,73572.0,ARK_SurvivalEvolved,
March 2021,49320.37,-12465.20,-20.17%,76387.0,ARK_SurvivalEvolved,
February 2021,61785.58,-1374.48,-2.18%,98637.0,ARK_SurvivalEvolved,
January 2021,63160.05,6836.00,+12.14%,92006.0,ARK_SurvivalEvolved,
December 2020,56324.05,-101.54,-0.18%,86471.0,ARK_SurvivalEvolved,
November 2020,56425.6,14665.60,+35.12%,98433.0,ARK_SurvivalEvolved,
October 2020,41760.0,-3480.49,-7.69%,71828.0,ARK_SurvivalEvolved,
September 2020,45240.48,-2530.12,-5.30%,73081.0,ARK_SurvivalEvolved,
August 2020,47770.61,-9393.38,-16.43%,75208.0,ARK_SurvivalEvolved,
July 2020,57163.99,-2271.72,-3.82%,90664.0,ARK_SurvivalEvolved,
June 2020,59435.7,-1482.37,-2.43%,97813.0,ARK_SurvivalEvolved,
May 2020,60918.07,-21173.18,-25.79%,101631.0,ARK_SurvivalEvolved,
April 2020,82091.26,-5647.44,-6.44%,125636.0,ARK_SurvivalEvolved,
March 2020,87738.7,34344.52,+64.32%,157355.0,ARK_SurvivalEvolved,
February 2020,53394.18,7738.33,+16.95%,138648.0,ARK_SurvivalEvolved,
January 2020,45655.85,5182.54,+12.80%,74200.0,ARK_SurvivalEvolved,
December 2019,40473.32,4289.58,+11.86%,66043.0,ARK_SurvivalEvolved,
November 2019,36183.73,4927.50,+15.76%,62857.0,ARK_SurvivalEvolved,
October 2019,31256.23,-2954.59,-8.64%,54069.0,ARK_SurvivalEvolved,
September 2019,34210.82,-8935.94,-20.71%,56829.0,ARK_SurvivalEvolved,
August 2019,43146.76,-4295.79,-9.05%,70047.0,ARK_SurvivalEvolved,
July 2019,47442.55,3910.53,+8.98%,75524.0,ARK_SurvivalEvolved,
June 2019,43532.02,10307.92,+31.03%,83446.0,ARK_SurvivalEvolved,
May 2019,33224.1,596.22,+1.83%,55915.0,ARK_SurvivalEvolved,
April 2019,32627.89,-919.06,-2.74%,54895.0,ARK_SurvivalEvolved,
March 2019,33546.95,1100.23,+3.39%,56169.0,ARK_SurvivalEvolved,
February 2019,32446.72,-3730.98,-10.31%,52697.0,ARK_SurvivalEvolved,
January 2019,36177.7,-6814.44,-15.85%,58388.0,ARK_SurvivalEvolved,
December 2018,42992.14,-8913.91,-17.17%,76351.0,ARK_SurvivalEvolved,
November 2018,51906.05,22568.43,+76.93%,106170.0,ARK_SurvivalEvolved,
October 2018,29337.62,1049.43,+3.71%,49049.0,ARK_SurvivalEvolved,
September 2018,28288.19,-4209.24,-12.95%,49072.0,ARK_SurvivalEvolved,
August 2018,32497.43,-12562.77,-27.88%,50789.0,ARK_SurvivalEvolved,
July 2018,45060.2,3265.71,+7.81%,70823.0,ARK_SurvivalEvolved,
June 2018,41794.49,10390.15,+33.09%,79451.0,ARK_SurvivalEvolved,
May 2018,31404.34,-3013.94,-8.76%,50021.0,ARK_SurvivalEvolved,
April 2018,34418.28,-3890.87,-10.16%,58344.0,ARK_SurvivalEvolved,
March 2018,38309.15,-3646.82,-8.69%,64647.0,ARK_SurvivalEvolved,
February 2018,41955.97,-7062.10,-14.41%,71259.0,ARK_SurvivalEvolved,
January 2018,49018.06,2544.78,+5.48%,86640.0,ARK_SurvivalEvolved,
December 2017,46473.28,12335.49,+36.13%,85894.0,ARK_SurvivalEvolved,
November 2017,34137.79,-3499.03,-9.30%,63378.0,ARK_SurvivalEvolved,
October 2017,37636.82,-6053.33,-13.86%,68570.0,ARK_SurvivalEvolved,
September 2017,43690.15,8842.95,+25.38%,78303.0,ARK_SurvivalEvolved,
August 2017,34847.2,-6964.89,-16.66%,57421.0,ARK_SurvivalEvolved,
July 2017,41812.09,-5268.65,-11.19%,72455.0,ARK_SurvivalEvolved,
June 2017,47080.74,9728.48,+26.05%,76482.0,ARK_SurvivalEvolved,
May 2017,37352.26,-4854.21,-11.50%,66342.0,ARK_SurvivalEvolved,
April 2017,42206.47,1153.50,+2.81%,73857.0,ARK_SurvivalEvolved,
March 2017,41052.97,-12081.74,-22.74%,75022.0,ARK_SurvivalEvolved,
February 2017,53134.72,6693.91,+14.41%,100723.0,ARK_SurvivalEvolved,
January 2017,46440.81,10418.00,+28.92%,76879.0,ARK_SurvivalEvolved,
December 2016,36022.81,4705.99,+15.03%,67651.0,ARK_SurvivalEvolved,
November 2016,31316.81,-1606.21,-4.88%,54698.0,ARK_SurvivalEvolved,
October 2016,32923.02,-4411.81,-11.82%,59524.0,ARK_SurvivalEvolved,
September 2016,37334.83,2124.21,+6.03%,67157.0,ARK_SurvivalEvolved,
August 2016,35210.62,-3857.08,-9.87%,60039.0,ARK_SurvivalEvolved,
July 2016,39067.7,-3319.20,-7.83%,69764.0,ARK_SurvivalEvolved,
June 2016,42386.9,3204.66,+8.18%,71194.0,ARK_SurvivalEvolved,
May 2016,39182.24,3796.61,+10.73%,78089.0,ARK_SurvivalEvolved,
April 2016,35385.63,-278.41,-0.78%,63900.0,ARK_SurvivalEvolved,
March 2016,35664.04,-2083.55,-5.52%,63069.0,ARK_SurvivalEvolved,
February 2016,37747.59,-1306.82,-3.35%,65577.0,ARK_SurvivalEvolved,
